# Default MIRISim dither pattern for Imager.
#
# Based on dither pattern provided by Brendan Hagan (STScI), Jun 15th, 2016.
#
# Offsets are defined in the Imager detector plane and are tabulated as
# (column, row) offsets (in units of pixels).
#

-15,-36
9.5,5
24,83.5
72.5,63.5
71,-57
-76.5,-28
-100,9.5
22.5,40.5
37,37
-103.5,22
72,-24.5
1.5,52.5
-5,91
-10.5,-6
79,-16.5
71.5,-39.5
-70,43
69.5,2
21,-64.5
-7.5,-30.5
7,51
27.5,1
-58,11.5
42.5,-27.5
1,13
22.5,-72.
49.,68.5
27.5,-32.5
-29,67
-97.5,-8
1,-4.5
-62.5,-29.5
-5,-20
33.5,23
17,8.5
16.5,45.5
45,83
-6.5,30
9,-60.5
-33.5,48.5
42,-22
-33.5,-54
-93,-64.5
65.5,-19.5
17,-91
2.5,-65
-73,-32.5
27.5,69.5
68,128
-14.5,-22
108,29.5
32.5,-15.5
3.,-86.
43.5,-30.
17,-75.5
93.5,22.5
61,-2
15.5,78
-43,51.5
94.5,-17.5
51,-36
-12.5,45
-47,-68.5
78.5,61.5
104,27
0.5,37
79,-6.5
74.5,17.5
3,-60
-74.5,45
-29,0.5
-75.5,13.5
44,33
-36.5,85
49,14.5
-42.5,27.5
-9,91
-14.5,-28
-107.,-75.5
-39.5,-26.5
24,27
59.5,81
-41,-64.5
63.5,-21.5
-28,64
-3.5,126
4,58.5
67.5,12.5
-48,12
-5.5,9
39,-104.5
64.5,2.5
-2,61
22.5,-5
41.,-97.5
-7.5,-104.5
-20,-10
-52.5,-21
-35,-22.5
-57.5,17.5
41,65
3.5,-9
54,44.5
-8.5,97.5
-70,1
-15.5,107
-14.,-14.5
-87.5,35.5
-28,62
-84.5,-95
-9,-87.5
4.5,39.5
58,86
58.5,21
41,73.5
-60.5,-17.5
24,-3
-17.5,121
15,74.5
28.5,-9.5
-30,73
-98.5,60.
-83.,2.5
-18.5,74.5
52,-9
11.5,-57
-92,-43.5
11.5,30.5
50,28
62.5,-45
-50,33.5
88.5,-28.5
-52,22
44.5,47
76,34.5
62.5,-76.5
-28,-11
14.5,10
11,42.5
95.5,79.5
-32,79
52.5,-52
-59,-64.5
-25.5,59.5
-83.,116.
-35.5,66.
-10,59.5
54.5,-8.5
-23,-13
-35.5,35
-81,-46.5
-47.5,-33.5
23,40
-18.5,-65
44,-83.5
-43.5,31.5
26,-44
-72.5,104
-47,-2.5
15.5,-26.5
-20,28
-95.5,-7
-18,44.5
-18.5,57.5
-2,-36
44.5,-10
60,102.5
123.5,-52.5
71,-87
29.5,59
-6,41.5
53.5,52.5
75.,106.
-48.5,26.
68,49.5
-10.5,-1.5
106.,45.
2.5,122.
-53,83.5
45.5,-27.5
-54,-2
-69.5,-30
1,34.5
-82.5,89.5
13.,-37.
-18.5,40
-48,102.5
0.5,-45.5
-62,-33
-90.5,-51
-20,-18.5
-2.5,78.5
122.,60.
80.5,75.
67.,-64.5
78.5,-35.5
110,-28
39.5,32
-12,-55.5
56.5,39.5
-45,78
25.5,-27
107,50.5
31.5,16.5
113,71
-23.5,-36
-84,-22.5
-6.5,-37.5
-43,31
43.5,-66
67,-36.5
-50.5,53.5
8.,27.
-20.5,-21
60,-13.5
24.5,77.5
1,-11
115.5,-35
71,30.5
34.5,-63.5
39,-17
76.5,69
-42,-68.5
41.5,30.5
35,9
52.5,23
112,-30.5
-33.5,45.5
-68,26
0.5,27
-16,-44.5
126.5,17.5
24,102
-70.5,88
13,28.5
-49.5,63.5
-46,53
47.5,-99
85,-36.5
58.5,-9.5
37.,107.
-112.5,108.
-48,30.5
-17.5,-89.5
110,-37
-41.5,-30
9,-1.5
-22.5,7.5
21,110
24.5,76.
16.,93.5
13.5,85.5
-71,27
47.5,-67
-38,-9.5
-11.5,-12.5
-81,-19
-11.5,-50.
-61.,-46.5
-28.5,-50.5
-71.,40.
-30.5,86.
71,-34.5
-44.5,36.5
-27,-5
48.5,-27
-77,67.5
56.5,69.5
-8,-60
-40.5,-124
30,-48.5
63.5,26.5
45,-53
-26.5,64
-18,-50.5
115.5,13.5
80,54
75.5,11
-8,12.5
-46.5,8.5
1,74
10.5,-49
-66,6.5
-23.5,71.5
-53,-35
18.5,-76
7,-39.5
-104.5,95.5
-50.,29.
21.5,26.
47,95.5
-61.5,62.5
-41,77
25.5,63
-13,85.5
102.5,-5.5
102,-39
-32.5,-24
-23,-6.5
-37.5,44.5
72.,89.
-71.5,58
-20,-20.5
62.5,-118.5
-5,-25
9.5,-44
32,42.5
8.5,-74.5
64,-80
18.5,60
-55,-65.5
